    985 1
    995 10
   1000 100
    999 11
    982 12
    991 13
   1032 14
    966 15
   1022 16
   1037 17
    992 18
    988 19
    971 2
    997 20
   1029 21
   1050 22
    964 23
   1022 24
    997 25
   1030 26
    986 27
    982 28
   1049 29
   1007 3
   1032 30
    956 31
   1029 32
   1001 33
    970 34
   1003 35
   1046 36
    935 37
   1000 38
   1002 39
    971 4
    957 40
   1041 41
    995 42
   1001 43
   1025 44
   1019 45
   1000 46
    958 47
   1047 48
    981 49
   1032 5
    995 50
    951 51
   1008 52
   1056 53
    995 54
   1011 55
   1038 56
   1031 57
   1053 58
   1046 59
   1015 6
   1040 60
    979 61
    986 62
   1000 63
    960 64
    951 65
   1020 66
    961 67
   1011 68
   1074 69
    954 7
   1024 70
   1038 71
   1013 72
    990 73
    950 74
   1016 75
    984 76
    976 77
   1013 78
    965 79
   1022 8
   1041 80
   1028 81
    991 82
    969 83
   1038 84
   1027 85
    976 86
    997 87
    948 88
    982 89
   1008 9
    997 90
    984 91
   1012 92
    972 93
    930 94
    966 95
   1007 96
    969 97
   1005 98
    953 99
      1 Done by: Your names
      1 Grupo: Your group
      1 Practice no 1, Section 1
